r,s,z
584695b0fd7a9ee3ec3db63c1c766a895908da11ef8b5224b6e3de53b81f8ffa,44f4bf2997c6a44a0d6b4e370ed161a72aea1c82efb50db63008039e76e71543,e4672c4471c9a85a88797ded2ad16b4a00f83d2685a502a75ea56b3ebb4b9ba5
ac109c5be73416fa8db7ae5a2107ab73e1e9e7d4fdd8721960226dadc195880b,c0aa6f7184da2cf6ad7235a542762da9bee5fbb1805f85a5844b0f723df6cca8,7b23791f340123fd5980864c0ced78db5d63710a7c123f0b8268b09f494c2399
6cf8418462b0a4a39325f270440b8612e7f36aa4797655addd3b04c1bb64b9d1,9064614f00518e96fc24e87a4fd791e74f8b2a4bdc5337753426728f514b5b72,c0e046e9012b54c5a3231aba15d5b984495808fa77aed2828eb3ea080ae1f0cf
d15e872284a164bd2283521a61bfa4b96760b4a693b4bd19444162139ae24b59,4cf0008ea370b89fcf823f4372f183d2b2110e724db333f88cac7fd8076f6c49,e90884fca3f76afc3397af7dbe96b580636d18454c7025b7931f1d29aa41d41a
cb14d91eaf8840a96715eabf5cac60ad92aed1f37a3a8afbde6ccc04c08ae3d5,e1fc9d4748c43e1c264d5169c55b1ba5049f33f2200f3fd3143bc5d42bf8e2f1,2c27d98089b3bd4dfd5a98796718a2bd741e902f71276e2195e1a1660964d03c
ae8889f5c19578427d1e7c90c0a78ea661d446a1e6f6ccbabd27a3cbc4496b78,cfb1fcde783c0aa1c52dbfa0c0a8caa5804f2892bcfbb036a1fc8080c2fe0c79,2977e502993e8b808c430cbc548aaae4f399d8b568fe3923a948fe373b488b07
0735d5d1d2e9af4d102ff7d03a2ad1067ef5e1893b2d7f6a9585e9f3a4d1faa2,32c5fd84336e741ffc522416cc27a35fb130da4a204d9a74f5329a617c235a98,37688980b3da2c445e47ba8b07bb8ab943d44277b377de3b899df4632000d875
1462bd40dd1a41bb36d9c61c294e75c979b8fa186ee06bc0b9494b7cde4a3703,30e7512b046c85cbacdef4146963d82bccae38777c6f602d77b5aaa51b38da77,189eff386f1d0b888a66892fbebaba8e492415fb8ec491456f01cf8d17902b65
96f29c2ce537ff8c05396f4e1712a310f04d2b9f976c4631f6ffcf107dc2b147,699ae81eee23f81a119ef338437f99af817093b2eaf303af4726794c5962e450,8bc39579909f3958bae59a8820e3d5f9b1d37f0941ccee210bded7ef0f034e4a
302f4a821c3193cb17d585ac2aca279c05e19922bd7ec93839be8ee5d37a0df3,ddcbacab272b24960c36cd304380897c21c34303246febb5db5ca10f28bcedba,c48e1d4805d27958c597f61b0103bd34b28d31f5bc69abdf8c743011880f82d3
89d487425c9deb8d38134d5f61c410ee17e9a3fb0fa105845a90659ebf22bef1,3cde0b18226d4c20e4902331c2668d4ad58664c74932d57118a2146eafa63b5b,4e17cfae230c12ab37a6e6ec8668db852306cb4a0d506a6aa77c8723aef7fd0f
490f2fbcb6d32c162f3b7d999bb7c3049aacec540bfb6a53fde53f1173d595e1,d3af41ebf3568e107648714c712a90b058ee2b07480e70b4d6c3710d35651d47,21fc36bf32d9ca4e34d13887ee982d9886dda029be55cbe711b42203391d483b
81bb0f6f29cd7c29e109d9dded4ca25810a4f03693a1070d39d28f3b01008f89,a571db8d1b6f87b78e77bdb373df3d29c465c6a3338ad7eaa5ab7c66f58f63c8,8262ad7fe7be61085786bf26eca45809155ea567e0a9c8183d02ee2d0d94d384
fcc4a6f68558e80551cfae411343eb536466f53287df9bd636041a11c386f693,ddf65ce7307446ed973cceb080da0d652ebdcc3a2c4e724f2eb9ae315d81ce9e,8b1c5b66f73b3fb6f3dbbf210ad1137c9d7c2bd4dfb39ec4edfc4a220df70d7f
8f0351537e24163c025963cae62ff11d7b7d00388342a36ff398815130c088b9,29cf45f722d8904895e90ba9bbc8b7f5bc177225b038c3b2d435ec7f454e4c84,89f7ddf09120c5769efde73fc70efb2fab0fa2645b00969b108ecf627ed1a679
c99ea9e7b81b661fff31764598842408ea8e860047617d9a10eee08c8e722a85,7e664770280ec136c89e1a91ee523d1b6ddf539dd6990026b31324d2e41a95fa,8f959f5d0bbb39f1be79ce2fa952b9bdcc198f227f5f405447a8f8075d471b63
1569664cab10df5fd9eeefa89b3dc35f9901af5f1c257de0cb96c72c65e6f5f1,a7dbdacfe9d924cd776ed5cb73dc19bd62908192fe8497e53ffc3cef5fa60d7b,61104768983eeb50b568ad4baf1a5540684fa0784a7d304819ea2f0c6e4bccce
423b8d4ae443749a964167e7aecc869f6d86461a169c79e6d591a2d4b0e150d5,bfe594e3ac2ab6a246c2f565e10a0588fe3dbc81424640a62cdeb46d2e36c3a0,98b35a5ecf44aadff82703c5c1004815c9ebd10d3b9b99af4e8dc553d33663b5
5c4f9e45caa5e23bc52dd6acbea877d3cd2cf49684dab90fab910dd9cf0c14a8,7ee4f750964189eaea8851f365de8212e7b6c9ecb7d422dcd86edb6121570c4a,955b4bbcb6b9f9cf49ff7d1c7ba5d4b46d80d284b4af2372efdc42a3365315ac
8a8959f4936cf0d93da152bc3b09337b3ce781ee094469df8519647d5d8f9771,d79100eabfd1faa75ec8dd7052135ee9f16e8b16e96a500793dd456e76ff0fab,22f0a3b9d1f5e03173ab5a4624adc37b7ab092c24c4b5fba9d11279a842a8448
